
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-05-11 22:25:23 /api/session/state ........................... ~ 0.24ms
  2026-05-11 22:25:25 /api/session/state ........................... ~ 0.29ms
  2026-05-11 22:25:25 /api/session/state ......................... ~ 500.79ms
  2026-05-11 22:25:27 /api/session/state ........................... ~ 0.19ms
  2026-05-11 22:25:27 /api/session/state ............................... ~ 1s
  2026-05-11 22:25:30 /api/session/state ........................... ~ 0.14ms
  2026-05-11 22:25:30 /api/session/state ......................... ~ 500.64ms
  2026-05-11 22:25:32 /api/session/state ........................... ~ 0.27ms
  2026-05-11 22:25:32 /api/session/state ............................... ~ 1s
  2026-05-11 22:25:34 /api/session/state ........................... ~ 0.42ms
  2026-05-11 22:25:34 /api/session/state ............................... ~ 1s
  2026-05-11 22:25:36 /api/session/state ........................... ~ 0.23ms
  2026-05-11 22:25:36 /api/session/state ............................... ~ 1s
  2026-05-11 22:25:39 /api/session/state ........................... ~ 0.16ms
  2026-05-11 22:25:39 /api/session/state ......................... ~ 500.71ms
  2026-05-11 22:25:41 /api/session/state ........................... ~ 0.30ms
  2026-05-11 22:25:41 /api/session/state ........................... ~ 0.19ms
  2026-05-11 22:25:43 /api/session/state ........................... ~ 0.33ms
  2026-05-11 22:25:43 /api/session/state ............................... ~ 2s
  2026-05-11 22:25:45 /api/session/state ........................... ~ 0.26ms
  2026-05-11 22:25:45 /api/session/state ............................... ~ 1s
  2026-05-11 22:25:48 /api/session/state ........................... ~ 0.28ms
  2026-05-11 22:25:48 /api/session/state ......................... ~ 500.57ms
  2026-05-11 22:25:50 /api/session/state ........................... ~ 0.20ms
  2026-05-11 22:25:50 /api/session/state ............................... ~ 1s
  2026-05-11 22:25:52 /api/session/state ........................... ~ 0.20ms
  2026-05-11 22:25:52 /api/session/state ......................... ~ 500.46ms
  2026-05-11 22:25:54 /api/session/state ........................... ~ 0.24ms
  2026-05-11 22:25:54 /api/session/state ........................... ~ 0.12ms
  2026-05-11 22:25:57 /api/session/state ........................... ~ 0.20ms
  2026-05-11 22:25:57 /api/session/state ............................... ~ 1s
  2026-05-11 22:25:59 /api/session/state ........................... ~ 0.28ms
  2026-05-11 22:25:59 /api/session/state ........................... ~ 0.30ms
  2026-05-11 22:26:01 /api/session/state ........................... ~ 0.25ms
  2026-05-11 22:26:01 /api/session/state ......................... ~ 500.41ms
  2026-05-11 22:26:03 /api/session/state ........................... ~ 0.18ms
  2026-05-11 22:26:04 /api/session/state ........................... ~ 0.10ms
  2026-05-11 22:26:06 /api/session/state ........................... ~ 0.08ms
  2026-05-11 22:26:06 /api/session/state ......................... ~ 500.69ms
  2026-05-11 22:26:08 /api/session/state ........................... ~ 0.10ms
  2026-05-11 22:26:08 /api/session/state ........................... ~ 0.03ms
  2026-05-11 22:26:10 /api/session/state ........................... ~ 0.14ms
  2026-05-11 22:26:10 /api/session/state ............................... ~ 1s
  2026-05-11 22:26:13 /api/session/state ........................... ~ 0.30ms
  2026-05-11 22:26:13 /api/session/state ............................... ~ 2s
  2026-05-11 22:26:15 /api/session/state ........................... ~ 0.25ms
  2026-05-11 22:26:15 /api/session/state ............................... ~ 2s
  2026-05-11 22:26:17 /api/session/state ........................... ~ 0.37ms
  2026-05-11 22:26:17 /api/session/state ............................... ~ 1s
  2026-05-11 22:26:19 /api/session/state ........................... ~ 0.31ms
  2026-05-11 22:26:19 /api/session/state ......................... ~ 500.63ms
  2026-05-11 22:26:22 /api/session/state ........................... ~ 0.07ms
  2026-05-11 22:26:22 /api/session/state ............................... ~ 1s
  2026-05-11 22:26:23 /api/skills .................................. ~ 0.11ms
  2026-05-11 22:26:23 /api/session/state ........................... ~ 0.99ms
  2026-05-11 22:26:23 /api/community/projects ...................... ~ 0.85ms
  2026-05-11 22:26:23 /api/skills ...................................... ~ 1s
  2026-05-11 22:26:23 /api/session/state ............................... ~ 2s
  2026-05-11 22:26:24 /api/community/projects .......................... ~ 2s
  2026-05-11 22:26:26 /api/session/state ......................... ~ 502.36ms
  2026-05-11 22:26:26 /api/session/state ............................... ~ 2s
  2026-05-11 22:26:28 /api/session/state ........................... ~ 0.05ms
  2026-05-11 22:26:28 /api/session/state ............................... ~ 1s
  2026-05-11 22:26:30 /api/session/state ........................... ~ 0.03ms
  2026-05-11 22:26:30 /api/session/state ............................... ~ 1s
  2026-05-11 22:26:31 /api/session/state ........................... ~ 0.05ms
  2026-05-11 22:26:31 /api/session/state ............................... ~ 1s
  2026-05-11 22:26:34 /api/session/state ........................... ~ 0.08ms
  2026-05-11 22:26:34 /api/session/state ........................... ~ 0.05ms
  2026-05-11 22:26:36 /api/session/state ........................... ~ 0.08ms
  2026-05-11 22:26:36 /api/session/state ............................... ~ 1s
  2026-05-11 22:26:38 /api/session/state ........................... ~ 0.09ms
  2026-05-11 22:26:38 /api/session/state ............................... ~ 1s
  2026-05-11 22:26:40 /api/session/state ........................... ~ 0.07ms
  2026-05-11 22:26:40 /api/session/state ............................... ~ 1s
  2026-05-11 22:26:43 /api/session/state ........................... ~ 0.09ms
  2026-05-11 22:26:43 /api/session/state ........................... ~ 0.05ms
  2026-05-11 22:26:45 /api/session/state ........................... ~ 0.08ms
  2026-05-11 22:26:45 /api/session/state ........................... ~ 0.04ms
  2026-05-11 22:26:47 /api/session/state ........................... ~ 0.14ms
  2026-05-11 22:26:47 /api/session/state ......................... ~ 500.28ms
  2026-05-11 22:26:49 /api/session/state ........................... ~ 0.10ms
  2026-05-11 22:26:49 /api/session/state ........................... ~ 0.05ms
  2026-05-11 22:26:51 /api/session/state ........................... ~ 0.50ms
  2026-05-11 22:26:51 /api/session/state ............................... ~ 2s
  2026-05-11 22:26:54 /api/session/state ........................... ~ 0.05ms
  2026-05-11 22:26:54 /api/session/state ............................... ~ 1s
  2026-05-11 22:26:56 /api/session/state ........................... ~ 0.15ms
  2026-05-11 22:26:56 /api/session/state ......................... ~ 500.26ms
  2026-05-11 22:26:58 /api/session/state ........................... ~ 0.11ms
  2026-05-11 22:26:58 /api/session/state ............................... ~ 1s
  2026-05-11 22:27:00 /api/session/state ........................... ~ 0.13ms
  2026-05-11 22:27:00 /api/session/state ............................... ~ 1s
  2026-05-11 22:27:03 /api/session/state ........................... ~ 0.11ms
  2026-05-11 22:27:03 /api/session/state ............................... ~ 1s
  2026-05-11 22:27:05 /api/session/state ........................... ~ 0.09ms
  2026-05-11 22:27:05 /api/session/state ............................... ~ 2s
  2026-05-11 22:27:07 /api/projects/publish ........................ ~ 0.09ms
  2026-05-11 22:27:07 /api/projects/publish ...................... ~ 500.29ms
  2026-05-11 22:27:08 /api/session/state ........................... ~ 0.05ms
  2026-05-11 22:27:08 /api/session/state ......................... ~ 500.28ms
  2026-05-11 22:27:09 /api/community/projects ...................... ~ 0.10ms
  2026-05-11 22:27:09 /api/community/projects .......................... ~ 1s
  2026-05-11 22:27:11 /api/session/state ........................... ~ 0.05ms
  2026-05-11 22:27:11 /api/session/state ............................... ~ 2s
  2026-05-11 22:27:12 /api/session/state ........................... ~ 0.05ms
  2026-05-11 22:27:12 /api/session/state ............................... ~ 1s
  2026-05-11 22:27:15 /api/session/state ........................... ~ 0.08ms
  2026-05-11 22:27:15 /api/session/state ........................... ~ 0.05ms
  2026-05-11 22:27:15 /api/community/projects ...................... ~ 0.07ms
  2026-05-11 22:27:15 /api/community/projects ...................... ~ 0.05ms
  2026-05-11 22:27:17 /api/session/state ........................... ~ 0.08ms
  2026-05-11 22:27:17 /api/session/state ............................... ~ 2s
  2026-05-11 22:27:19 /api/session/state ........................... ~ 0.12ms
  2026-05-11 22:27:19 /api/session/state ............................... ~ 1s
  2026-05-11 22:27:21 /api/session/state .......................... ~ 33.96ms
  2026-05-11 22:27:21 /api/session/state ............................... ~ 1s
  2026-05-11 22:27:24 /api/skills .................................. ~ 0.08ms
  2026-05-11 22:27:24 /api/skills ...................................... ~ 1s
  2026-05-11 22:27:25 /api/session/state ........................... ~ 0.14ms
  2026-05-11 22:27:25 /api/session/state ............................... ~ 1s
  2026-05-11 22:27:26 /api/session/state ........................... ~ 0.14ms
  2026-05-11 22:27:26 /api/session/state ............................... ~ 1s
  2026-05-11 22:27:28 /api/session/state ........................... ~ 0.07ms
  2026-05-11 22:27:28 /api/session/state ......................... ~ 500.36ms
  2026-05-11 22:27:29 /api/skills ................................ ~ 500.66ms
  2026-05-11 22:27:29 /api/skills ...................................... ~ 1s
  2026-05-11 22:27:30 /api/session/state ........................... ~ 0.08ms
  2026-05-11 22:27:30 /api/session/state ......................... ~ 500.85ms
  2026-05-11 22:27:31 /api/session/state ........................... ~ 0.28ms
  2026-05-11 22:27:31 /api/session/state ............................... ~ 1s
  2026-05-11 22:27:33 /api/session/state ........................... ~ 0.14ms
  2026-05-11 22:27:33 /api/session/state ............................... ~ 1s
  2026-05-11 22:27:35 /api/session/state ........................... ~ 0.08ms
  2026-05-11 22:27:35 /api/session/state ............................... ~ 2s
  2026-05-11 22:27:38 /api/session/state ........................... ~ 0.41ms
  2026-05-11 22:27:38 /api/session/state ............................... ~ 1s
  2026-05-11 22:27:40 /api/session/state ........................... ~ 0.12ms
  2026-05-11 22:27:40 /api/session/state ............................... ~ 2s
  2026-05-11 22:27:42 /api/session/state ........................... ~ 0.28ms
  2026-05-11 22:27:42 /api/session/state ............................... ~ 1s
  2026-05-11 22:27:44 /api/community/projects ...................... ~ 0.15ms
  2026-05-11 22:27:44 /api/community/projects .................... ~ 500.29ms
  2026-05-11 22:27:44 /api/session/state ........................... ~ 0.05ms
  2026-05-11 22:27:44 /api/session/state ............................... ~ 1s
  2026-05-11 22:27:47 /api/session/state ........................... ~ 0.07ms
  2026-05-11 22:27:47 /api/session/state ............................... ~ 2s
  2026-05-11 22:27:52 /api/community/projects ...................... ~ 0.08ms
  2026-05-11 22:27:52 /api/community/projects ...................... ~ 0.03ms
  2026-05-11 22:28:21 /api/session/state ........................... ~ 0.30ms
  2026-05-11 22:28:21 /api/session/state ............................... ~ 2s
  2026-05-11 22:28:24 /api/session/state ........................... ~ 0.24ms
  2026-05-11 22:28:24 /api/session/state ........................... ~ 0.23ms
  2026-05-11 22:28:26 /api/session/state ........................... ~ 0.43ms
  2026-05-11 22:28:26 /api/session/state ............................... ~ 1s
  2026-05-11 22:28:28 /api/session/state ........................... ~ 0.27ms
  2026-05-11 22:28:28 /api/session/state ............................... ~ 1s
  2026-05-11 22:28:31 /api/session/state ........................... ~ 0.37ms
  2026-05-11 22:28:31 /api/session/state ......................... ~ 500.59ms
  2026-05-11 22:28:33 /api/session/state ........................... ~ 0.27ms
  2026-05-11 22:28:33 /api/session/state ......................... ~ 500.67ms
  2026-05-11 22:28:35 /api/session/state ........................... ~ 0.17ms
  2026-05-11 22:28:35 /api/session/state ......................... ~ 500.27ms
  2026-05-11 22:28:37 /api/session/state ........................... ~ 0.36ms
  2026-05-11 22:28:37 /api/session/state ............................... ~ 1s
  2026-05-11 22:28:40 /api/session/state ........................... ~ 0.08ms
  2026-05-11 22:28:40 /api/session/state ............................... ~ 1s
  2026-05-11 22:28:42 /api/community/projects ...................... ~ 0.16ms
  2026-05-11 22:28:42 /api/community/projects .................... ~ 500.29ms
  2026-05-11 22:28:42 /api/session/state ........................... ~ 0.05ms
  2026-05-11 22:28:42 /api/session/state ............................... ~ 2s
  2026-05-11 22:28:44 /api/session/state ........................... ~ 0.13ms
  2026-05-11 22:28:44 /api/session/state ............................... ~ 1s
  2026-05-11 22:28:46 /api/community/projects/111/reaction ......... ~ 0.35ms
  2026-05-11 22:28:46 /api/level/activity .......................... ~ 0.38ms
  2026-05-11 22:28:46 /api/community/projects/111/reaction ............. ~ 2s
  2026-05-11 22:28:48 /api/level/activity ........................ ~ 500.90ms
  2026-05-11 22:28:48 /api/session/state ......................... ~ 502.00ms
  2026-05-11 22:28:49 /api/community/projects/111/reaction ......... ~ 1.16ms
  2026-05-11 22:28:49 /api/level/activity .......................... ~ 1.16ms
  2026-05-11 22:28:49 /api/session/state ........................... ~ 1.64ms
  2026-05-11 22:28:49 /api/session/state ......................... ~ 501.91ms
  2026-05-11 22:28:49 /api/community/projects/111/reaction ............. ~ 1s
  2026-05-11 22:28:50 /api/level/activity ........................ ~ 501.61ms
  2026-05-11 22:28:50 /api/session/state ........................... ~ 0.63ms
  2026-05-11 22:28:50 /api/session/state ........................... ~ 0.79ms
  2026-05-11 22:28:50 /api/session/state ......................... ~ 500.66ms
  2026-05-11 22:28:51 /api/session/state ........................... ~ 0.40ms
  2026-05-11 22:28:51 /api/session/state ........................... ~ 0.16ms
  2026-05-11 22:28:53 /api/session/state ........................... ~ 0.30ms
  2026-05-11 22:28:53 /api/session/state ......................... ~ 500.79ms
  2026-05-11 22:28:55 /api/level/activity .......................... ~ 0.10ms
  2026-05-11 22:28:55 /api/level/activity ........................ ~ 500.38ms
  2026-05-11 22:28:56 /api/community/projects/111/preview ........ ~ 500.80ms
  2026-05-11 22:28:56 /api/session/state ......................... ~ 502.00ms
  2026-05-11 22:28:56 /api/session/state ........................... ~ 0.28ms
  2026-05-11 22:28:56 /api/session/state ........................... ~ 0.35ms
  2026-05-11 22:28:56 /api/session/state ........................... ~ 0.32ms
  2026-05-11 22:28:59 /api/session/state ........................... ~ 0.10ms
  2026-05-11 22:28:59 /api/session/state ......................... ~ 500.61ms
  2026-05-11 22:29:01 /api/session/state ........................... ~ 0.38ms
  2026-05-11 22:29:01 /api/session/state ........................... ~ 0.25ms
  2026-05-11 22:29:03 /api/session/state ........................... ~ 0.11ms
  2026-05-11 22:29:03 /api/session/state ......................... ~ 500.61ms
  2026-05-11 22:29:05 /api/session/state ........................... ~ 0.26ms
  2026-05-11 22:29:05 /api/session/state ............................... ~ 1s
  2026-05-11 22:29:08 /api/session/state ........................... ~ 0.13ms
  2026-05-11 22:29:08 /api/session/state ......................... ~ 500.65ms
  2026-05-11 22:29:10 /api/session/state ........................... ~ 0.19ms
  2026-05-11 22:29:10 /api/session/state ......................... ~ 500.91ms
  2026-05-11 22:29:12 /api/session/state ......................... ~ 500.79ms
  2026-05-11 22:29:12 /api/session/state ........................... ~ 0.13ms
  2026-05-11 22:29:15 /api/session/state ........................... ~ 0.36ms
  2026-05-11 22:29:15 /api/session/state ............................... ~ 1s
  2026-05-11 22:29:17 /api/session/state ........................... ~ 0.12ms
  2026-05-11 22:29:17 /api/session/state ............................... ~ 1s
  2026-05-11 22:29:19 /api/session/state ........................... ~ 0.17ms
  2026-05-11 22:29:19 /api/session/state ........................... ~ 0.17ms
  2026-05-11 22:29:21 /api/session/state ........................... ~ 0.32ms
  2026-05-11 22:29:21 /api/session/state ......................... ~ 500.65ms
  2026-05-11 22:29:23 /api/session/state ........................... ~ 0.20ms
  2026-05-11 22:29:24 /api/session/state ........................... ~ 0.15ms
  2026-05-11 22:29:26 /api/session/state ........................... ~ 0.23ms
  2026-05-11 22:29:26 /api/session/state ............................... ~ 2s
  2026-05-11 22:29:28 /api/session/state ........................... ~ 0.40ms
  2026-05-11 22:29:28 /api/session/state ............................... ~ 1s
  2026-05-11 22:29:30 /api/session/state ........................... ~ 0.13ms
  2026-05-11 22:29:30 /api/session/state ............................... ~ 1s
  2026-05-11 22:29:33 /api/session/state ......................... ~ 174.74ms
  2026-05-11 22:29:33 /api/session/state ............................... ~ 1s
  2026-05-11 22:29:35 /api/session/state ........................... ~ 0.12ms
  2026-05-11 22:29:35 /api/session/state ......................... ~ 500.64ms
  2026-05-11 22:29:35 /api/community/projects/111/preview .......... ~ 0.16ms
  2026-05-11 22:29:37 /api/session/state ........................... ~ 0.09ms
  2026-05-11 22:29:37 /api/session/state ......................... ~ 500.27ms
  2026-05-11 22:31:28 /api/community/projects ...................... ~ 0.17ms
  2026-05-11 22:31:28 /api/community/projects ...................... ~ 0.10ms
  2026-05-11 22:31:31 /api/level/activity .......................... ~ 0.10ms
  2026-05-11 22:31:31 /api/level/activity .............................. ~ 1s
  2026-05-11 22:31:33 /api/community/projects/111/preview ........ ~ 500.73ms
  2026-05-11 22:31:38 /api/community/projects/111/reaction ......... ~ 0.30ms
  2026-05-11 22:31:38 /api/level/activity .......................... ~ 0.14ms
  2026-05-11 22:31:38 /api/community/projects/111/reaction ............. ~ 1s
  2026-05-11 22:31:40 /api/level/activity ........................ ~ 500.25ms
  2026-05-11 22:31:40 /api/community/projects/111/preview .......... ~ 0.04ms
  2026-05-11 22:31:41 /api/session/state ........................... ~ 0.37ms
  2026-05-11 22:31:41 /api/session/state ......................... ~ 500.66ms
  2026-05-11 22:33:37 /api/session/state ........................... ~ 0.30ms
  2026-05-11 22:33:37 /api/session/state ............................... ~ 1s
  2026-05-11 22:35:16 /api/skills .................................. ~ 0.27ms
  2026-05-11 22:35:16 /api/skills ...................................... ~ 1s
  2026-05-11 22:35:17 /api/session/state ........................... ~ 0.07ms
  2026-05-11 22:35:17 /api/session/state ......................... ~ 500.29ms
  2026-05-11 22:35:18 /api/session/state ........................... ~ 0.18ms
  2026-05-11 22:35:18 /api/session/state ............................... ~ 1s
  2026-05-11 22:36:24 /api/skills .................................. ~ 0.09ms
  2026-05-11 22:36:24 /api/skills ................................ ~ 500.23ms
  2026-05-11 22:36:25 /api/session/state ........................... ~ 0.09ms
  2026-05-11 22:36:25 /api/session/state ............................... ~ 1s
  2026-05-11 22:44:52 /api/community/projects .................... ~ 500.30ms
  2026-05-11 22:44:57 /api/community/projects/111/preview ........ ~ 500.38ms
